"date","Fiscal_Deficit"
1983-09-30,-207802
1984-09-30,-185367
1985-09-30,-212308
1986-09-30,-221227
1987-09-30,-149730
1988-09-30,-155178
1989-09-30,-152639
1990-09-30,-221036
1991-09-30,-269238
1992-09-30,-290321
1993-09-30,-255051
1994-09-30,-203186
1995-09-30,-163952
1996-09-30,-107431
1997-09-30,-21884
1998-09-30,69270
1999-09-30,125610
2000-09-30,236241
2001-09-30,128236
2002-09-30,-157758
2003-09-30,-377585
2004-09-30,-412727
2005-09-30,-318346
2006-09-30,-248181
2007-09-30,-160701
2008-09-30,-458553
2009-09-30,-1412688
2010-09-30,-1294373
2011-09-30,-1299599
2012-09-30,-1076573
2013-09-30,-679775
2014-09-30,-484793
2015-09-30,-441960
2016-09-30,-584650
2017-09-30,-665450
2018-09-30,-779074
2019-09-30,-983588
