"date","Government_Transfers"
1983-01-01,161.7
1983-02-01,161.8
1983-03-01,162.9
1983-04-01,164.1
1983-05-01,164.1
1983-06-01,163.9
1983-07-01,164.4
1983-08-01,163.8
1983-09-01,163.7
1983-10-01,163.7
1983-11-01,169
1983-12-01,170.1
1984-01-01,170.8
1984-02-01,170.4
1984-03-01,171.6
1984-04-01,173.4
1984-05-01,171.7
1984-06-01,172.9
1984-07-01,172.1
1984-08-01,173.5
1984-09-01,171.7
1984-10-01,172.8
1984-11-01,173.4
1984-12-01,182
1985-01-01,180.5
1985-02-01,181.6
1985-03-01,182.5
1985-04-01,181.6
1985-05-01,181.7
1985-06-01,182.6
1985-07-01,188.3
1985-08-01,183.3
1985-09-01,184.2
1985-10-01,183.8
1985-11-01,184.7
1985-12-01,184.5
1986-01-01,190.8
1986-02-01,190.9
1986-03-01,191.5
1986-04-01,191.1
1986-05-01,192.5
1986-06-01,192.7
1986-07-01,199
1986-08-01,194.2
1986-09-01,194.4
1986-10-01,195.3
1986-11-01,195
1986-12-01,196
1987-01-01,198.5
1987-02-01,199.5
1987-03-01,198.7
1987-04-01,199.1
1987-05-01,205.5
1987-06-01,200.3
1987-07-01,202
1987-08-01,200.9
1987-09-01,201.3
1987-10-01,202.6
1987-11-01,201.4
1987-12-01,201.9
1988-01-01,212.1
1988-02-01,211.7
1988-03-01,216.6
1988-04-01,214.2
1988-05-01,213
1988-06-01,213.3
1988-07-01,214
1988-08-01,214.3
1988-09-01,214.1
1988-10-01,214.4
1988-11-01,214.5
1988-12-01,214.5
1989-01-01,223.3
1989-02-01,224.1
1989-03-01,230.3
1989-04-01,227.2
1989-05-01,225.6
1989-06-01,227.5
1989-07-01,226.7
1989-08-01,228
1989-09-01,228.7
1989-10-01,227.4
1989-11-01,231.1
1989-12-01,228.6
1990-01-01,240.7
1990-02-01,240.3
1990-03-01,242.1
1990-04-01,243.6
1990-05-01,242.4
1990-06-01,245.4
1990-07-01,243.6
1990-08-01,242.9
1990-09-01,247.7
1990-10-01,245.1
1990-11-01,246.1
1990-12-01,249.8
1991-01-01,259.8
1991-02-01,260.9
1991-03-01,263.2
1991-04-01,262.8
1991-05-01,264.6
1991-06-01,263.6
1991-07-01,263.7
1991-08-01,266
1991-09-01,265.5
1991-10-01,265.1
1991-11-01,266
1991-12-01,269.4
1992-01-01,277.8
1992-02-01,278.1
1992-03-01,279.8
1992-04-01,280.9
1992-05-01,282.6
1992-06-01,281.7
1992-07-01,283.1
1992-08-01,282.6
1992-09-01,282.8
1992-10-01,284.7
1992-11-01,282.1
1992-12-01,285
1993-01-01,296.4
1993-02-01,294.5
1993-03-01,295.8
1993-04-01,297.9
1993-05-01,296.7
1993-06-01,296.6
1993-07-01,298.5
1993-08-01,298
1993-09-01,299.2
1993-10-01,299.4
1993-11-01,299.1
1993-12-01,303.2
1994-01-01,307.2
1994-02-01,308.8
1994-03-01,310.5
1994-04-01,311.9
1994-05-01,311.9
1994-06-01,311.5
1994-07-01,312.6
1994-08-01,312.9
1994-09-01,313.4
1994-10-01,314.1
1994-11-01,313.3
1994-12-01,317.9
1995-01-01,322.8
1995-02-01,324.9
1995-03-01,326.6
1995-04-01,326.6
1995-05-01,328.2
1995-06-01,327.8
1995-07-01,327.9
1995-08-01,327.9
1995-09-01,330.1
1995-10-01,328.7
1995-11-01,328
1995-12-01,332.6
1996-01-01,336
1996-02-01,338.7
1996-03-01,342.6
1996-04-01,341.1
1996-05-01,341.2
1996-06-01,341.9
1996-07-01,342.5
1996-08-01,343.1
1996-09-01,342.3
1996-10-01,342.9
1996-11-01,345.5
1996-12-01,346.2
1997-01-01,355.8
1997-02-01,350.7
1997-03-01,355.2
1997-04-01,355.1
1997-05-01,356.3
1997-06-01,356.2
1997-07-01,356.6
1997-08-01,358.4
1997-09-01,357.6
1997-10-01,358.2
1997-11-01,357.5
1997-12-01,361.5
1998-01-01,364.9
1998-02-01,366.2
1998-03-01,368.8
1998-04-01,367.6
1998-05-01,368.3
1998-06-01,368.7
1998-07-01,370.2
1998-08-01,370.1
1998-09-01,371.8
1998-10-01,370.1
1998-11-01,370.2
