"date","Nonfarm_Payrolls"
1983-01-01,88999
1983-04-01,89676.3333333333
1983-07-01,90604.3333333333
1983-10-01,91875
1984-01-01,93086.3333333333
1984-04-01,94123
1984-07-01,95055
1984-10-01,95906
1985-01-01,96572.3333333333
1985-04-01,97269.6666666667
1985-07-01,97844.3333333333
1985-10-01,98428.3333333333
1986-01-01,98837.6666666667
1986-04-01,99174.6666666667
1986-07-01,99665
1986-10-01,100312.666666667
1987-01-01,100920.333333333
1987-04-01,101709
1987-07-01,102438
1987-10-01,103390.333333333
1988-01-01,104152
1988-04-01,105006.666666667
1988-07-01,105745.666666667
1988-10-01,106597
1989-01-01,107403
1989-04-01,107910.333333333
1989-07-01,108186
1989-10-01,108688
1990-01-01,109424
1990-04-01,109784
1990-07-01,109648
1990-10-01,109255.666666667
1991-01-01,108787
1991-04-01,108311
1991-07-01,108308.333333333
1991-10-01,108330.333333333
1992-01-01,108348
1992-04-01,108622.666666667
1992-07-01,108886.666666667
1992-10-01,109308
1993-01-01,109947
1993-04-01,110537.666666667
1993-07-01,111234
1993-10-01,112015.333333333
1994-01-01,112876
1994-04-01,113916.666666667
1994-07-01,114918.666666667
1994-10-01,115832.666666667
1995-01-01,116702.333333333
1995-04-01,117134.333333333
1995-07-01,117633.666666667
1995-10-01,118172
1996-01-01,118682.333333333
1996-04-01,119475
1996-07-01,120205.666666667
1996-10-01,120918.333333333
1997-01-01,121673.333333333
1997-04-01,122555
1997-07-01,123258.666666667
1997-10-01,124232.666666667
1998-01-01,124996
1998-04-01,125788.666666667
1998-07-01,126500.666666667
1998-10-01,127255.333333333
1999-01-01,128016.666666667
1999-04-01,128830.666666667
1999-07-01,129588.333333333
1999-10-01,130475.666666667
2000-01-01,131245
2000-04-01,132017.333333333
2000-07-01,132266.333333333
2000-10-01,132541.333333333
2001-01-01,132747.333333333
2001-04-01,132388.666666667
2001-07-01,131985.333333333
2001-10-01,131193
2002-01-01,130772.666666667
2002-04-01,130640.666666667
2002-07-01,130555.666666667
2002-10-01,130566
2003-01-01,130416.333333333
2003-04-01,130185.333333333
2003-07-01,130196.333333333
2003-10-01,130502.666666667
2004-01-01,130905.666666667
2004-04-01,131634.333333333
2004-07-01,131960.666666667
2004-10-01,132520.666666667
2005-01-01,132989.666666667
2005-04-01,133719
2005-07-01,134451.333333333
2005-10-01,134932.333333333
2006-01-01,135732.666666667
2006-04-01,136265.333333333
2006-07-01,136682.333333333
2006-10-01,137050.666666667
2007-01-01,137605.333333333
2007-04-01,137969.666666667
2007-07-01,138052
2007-10-01,138286.666666667
2008-01-01,138326.333333333
2008-04-01,137863.666666667
2008-07-01,137156
2008-10-01,135559.666666667
2009-01-01,133297
2009-04-01,131432
2009-07-01,130460
2009-10-01,129975.333333333
2010-01-01,129791.333333333
2010-04-01,130424
2010-07-01,130390.333333333
2010-10-01,130733
2011-01-01,131059
2011-04-01,131743.666666667
2011-07-01,132153.666666667
2011-10-01,132710.333333333
2012-01-01,133501
2012-04-01,133923.333333333
2012-07-01,134337.666666667
2012-10-01,134856
2013-01-01,135497.333333333
2013-04-01,136082.666666667
2013-07-01,136619.333333333
2013-10-01,137243.333333333
2014-01-01,137752.666666667
2014-04-01,138553.333333333
2014-07-01,139301.333333333
2014-10-01,140083.666666667
2015-01-01,140772.666666667
2015-04-01,141481
2015-07-01,142130.333333333
2015-10-01,142821.333333333
2016-01-01,143426
2016-04-01,143967
2016-07-01,144716
2016-10-01,145218.666666667
2017-01-01,145814.666666667
2017-04-01,146379.333333333
2017-07-01,146899.666666667
2017-10-01,147348
2018-01-01,147998
2018-04-01,148707.333333333
2018-07-01,149218.333333333
2018-10-01,149651
2019-01-01,150140.666666667
2019-04-01,150682.333333333
2019-07-01,151157
2019-10-01,151640.333333333
