date,transfer_RR_ext,source
1983-01-01,0.0,zero
1983-04-01,0.0,zero
1983-07-01,0.75,R&R(actual)
1983-10-01,0.0,zero
1984-01-01,5.9535,R&R(actual)
1984-04-01,0.0,zero
1984-07-01,0.0,zero
1984-10-01,0.0,zero
1985-01-01,6.370000000000001,R&R(actual)
1985-04-01,0.0,zero
1985-07-01,0.0,zero
1985-10-01,0.0,zero
1986-01-01,5.7195,R&R(actual)
1986-04-01,0.0,zero
1986-07-01,0.0,zero
1986-10-01,0.0,zero
1987-01-01,2.548,R&R(actual)
1987-04-01,0.0,zero
1987-07-01,0.0,zero
1987-10-01,0.0,zero
1988-01-01,8.479800000000001,R&R(actual)
1988-04-01,0.0,zero
1988-07-01,0.0,zero
1988-10-01,0.0,zero
1989-01-01,8.58,R&R(actual)
1989-04-01,0.0,zero
1989-07-01,0.0,zero
1989-10-01,0.0,zero
1990-01-01,10.7442,R&R(actual)
1990-04-01,0.0,zero
1990-07-01,0.0,zero
1990-10-01,0.0,zero
1991-01-01,13.4892,R&R(actual)
1991-04-01,0.0,zero
1991-07-01,0.0,zero
1991-10-01,0.0,zero
1992-01-01,9.776016666666667,COLA-reconstr
1992-04-01,0.0,zero
1992-07-01,0.0,zero
1992-10-01,0.0,zero
1993-01-01,8.453000000000001,COLA-reconstr
1993-04-01,0.0,zero
1993-07-01,0.0,zero
1993-10-01,0.0,zero
1994-01-01,7.746483333333334,COLA-reconstr
1994-04-01,0.0,zero
1994-07-01,0.0,zero
1994-10-01,0.0,zero
1995-01-01,8.740666666666666,COLA-reconstr
1995-04-01,0.0,zero
1995-07-01,0.0,zero
1995-10-01,0.0,zero
1996-01-01,8.51955,COLA-reconstr
1996-04-01,0.0,zero
1996-07-01,0.0,zero
1996-10-01,0.0,zero
1997-01-01,9.918,COLA-reconstr
1997-04-01,0.0,zero
1997-07-01,0.0,zero
1997-10-01,0.0,zero
1998-01-01,7.488425000000001,COLA-reconstr
1998-04-01,0.0,zero
1998-07-01,0.0,zero
1998-10-01,0.0,zero
1999-01-01,4.799383333333334,COLA-reconstr
1999-04-01,0.0,zero
1999-07-01,0.0,zero
1999-10-01,0.0,zero
2000-01-01,9.496875000000001,COLA-reconstr
2000-04-01,0.0,zero
2000-07-01,0.0,zero
2000-10-01,0.0,zero
2001-01-01,14.048708333333334,COLA-reconstr
2001-04-01,0.0,zero
2001-07-01,0.0,zero
2001-10-01,0.0,zero
2002-01-01,11.052166666666666,COLA-reconstr
2002-04-01,0.0,zero
2002-07-01,0.0,zero
2002-10-01,0.0,zero
2003-01-01,6.256716666666666,COLA-reconstr
2003-04-01,0.0,zero
2003-07-01,0.0,zero
2003-10-01,0.0,zero
2004-01-01,9.73455,COLA-reconstr
2004-04-01,0.0,zero
2004-07-01,0.0,zero
2004-10-01,0.0,zero
2005-01-01,13.108725000000003,COLA-reconstr
2005-04-01,0.0,zero
2005-07-01,0.0,zero
2005-10-01,0.0,zero
2006-01-01,21.022066666666664,COLA-reconstr
2006-04-01,0.0,zero
2006-07-01,0.0,zero
2006-10-01,0.0,zero
2007-01-01,17.955025000000003,COLA-reconstr
2007-04-01,0.0,zero
2007-07-01,0.0,zero
2007-10-01,0.0,zero
2008-01-01,13.240333333333332,COLA-reconstr
2008-04-01,0.0,zero
2008-07-01,0.0,zero
2008-10-01,0.0,zero
2009-01-01,35.12141666666666,COLA-reconstr
2009-04-01,0.0,zero
2009-07-01,0.0,zero
2009-10-01,0.0,zero
2010-01-01,0.0,COLA-zero
2010-04-01,0.0,zero
2010-07-01,0.0,zero
2010-10-01,0.0,zero
2011-01-01,0.0,COLA-zero
2011-04-01,0.0,zero
2011-07-01,0.0,zero
2011-10-01,0.0,zero
2012-01-01,25.677000000000003,COLA-reconstr
2012-04-01,0.0,zero
2012-07-01,0.0,zero
2012-10-01,0.0,zero
2013-01-01,12.95655,COLA-reconstr
2013-04-01,0.0,zero
2013-07-01,0.0,zero
2013-10-01,0.0,zero
2014-01-01,11.985499999999998,COLA-reconstr
2014-04-01,0.0,zero
2014-07-01,0.0,zero
2014-10-01,0.0,zero
2015-01-01,14.188766666666668,COLA-reconstr
2015-04-01,0.0,zero
2015-07-01,0.0,zero
2015-10-01,0.0,zero
2016-01-01,0.0,COLA-zero
2016-04-01,0.0,zero
2016-07-01,0.0,zero
2016-10-01,0.0,zero
2017-01-01,2.689425,COLA-reconstr
2017-04-01,0.0,zero
2017-07-01,0.0,zero
2017-10-01,0.0,zero
2018-01-01,18.5215,COLA-reconstr
2018-04-01,0.0,zero
2018-07-01,0.0,zero
2018-10-01,0.0,zero
2019-01-01,27.227666666666664,COLA-reconstr
2019-04-01,0.0,zero
2019-07-01,0.0,zero
2019-10-01,0.0,zero
