"date","EBP","Treasury_1Y","Treasury_2Y","Treasury_3Y","Treasury_5Y","Treasury_10Y","GDP","CPI","INDPRO","GDP_Deflator","Consumption","Disposable_Income","Private_Savings","Government_Spending","Government_Transfers","Tax_Revenues","Fiscal_Deficit","Unemployment_Rate","Nonfarm_Payrolls","Hours_Worked"
1983-01-01,0.234817270171229,8.86650793650794,9.54063492063492,9.79492063492063,10.1166666666667,10.555873015873,7400.066,98,47.7570333333333,46.938,4752.481,5520,810.153,1955.554,161.7,366.026,NA,10.3666666666667,88999,NA
1983-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5522.6,NA,NA,161.8,NA,NA,NA,NA,NA
1983-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5549.2,NA,NA,162.9,NA,NA,NA,NA,NA
1983-04-01,0.00825247643954603,9.19095238095238,9.75603174603175,9.92301587301587,10.237619047619,10.55,7568.456,99.1333333333333,48.826,47.286,4849.254,5561.3,801.361,1971.659,164.1,388.038,NA,10.1333333333333,89676.3333333333,NA
1983-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5572.5,NA,NA,164.1,NA,NA,NA,NA,NA
1983-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5576.8,NA,NA,163.9,NA,NA,NA,NA,NA
1983-07-01,-0.120870606714563,10.3028125,10.85796875,11.10171875,11.43140625,11.63640625,7719.746,100.1,50.4923,47.789,4936.211,5647,811.244,2005.68,164.4,377.326,NA,9.36666666666667,90604.3333333333,NA
1983-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5635.9,NA,NA,163.8,NA,NA,NA,NA,NA
1983-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5676.2,NA,NA,163.7,NA,NA,NA,NA,NA
1983-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-207802,NA,NA,NA
1983-10-01,-0.00111718448992001,9.95333333333333,10.6935,10.9885,11.4128333333333,11.6891666666667,7880.794,101.1,51.8093333333333,48.151,5014.874,5726.4,851.462,1973.58,163.7,386.546,NA,8.53333333333333,91875,NA
1983-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5775,NA,NA,169,NA,NA,NA,NA,NA
1983-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5825.9,NA,NA,170.1,NA,NA,NA,NA,NA
1984-01-01,-0.0307166070103812,10.1888709677419,10.9246774193548,11.1996774193548,11.6522580645161,11.9545161290323,8034.847,102.533333333333,53.3410666666667,48.639,5056.492,5851.3,908.637,1994.498,170.8,401,NA,7.86666666666667,93086.3333333333,NA
1984-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5884.8,NA,NA,170.4,NA,NA,NA,NA,NA
1984-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5922.6,NA,NA,171.6,NA,NA,NA,NA,NA
1984-04-01,-0.127300090998018,11.5604761904762,12.3666666666667,12.6503174603175,13.0196825396825,13.2139682539683,8173.67,103.5,54.1713333333333,49.055,5127.332,5962.5,930.026,2037.823,173.4,407.192,NA,7.43333333333333,94123,NA
1984-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5971,NA,NA,171.7,NA,NA,NA,NA,NA
1984-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6010.3,NA,NA,172.9,NA,NA,NA,NA,NA
1984-07-01,-0.0295147120078531,11.8169841269841,12.5128571428571,12.6431746031746,12.8353968253968,12.8731746031746,8252.465,104.4,54.5356666666667,49.491,5165.357,6017.6,964.751,2054.317,172.1,409.792,NA,7.43333333333333,95055,NA
1984-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6058.5,NA,NA,173.5,NA,NA,NA,NA,NA
1984-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6101.7,NA,NA,171.7,NA,NA,NA,NA,NA
1984-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-185367,NA,NA,NA
1984-10-01,-0.139510051594911,10.0470491803279,10.8386885245902,11.1309836065574,11.5067213114754,11.7606557377049,8320.199,105.3,54.5687333333333,49.861,5232.266,6079.2,970.95,2097.444,172.8,420.74,NA,7.3,95906,NA
1984-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6105.7,NA,NA,173.4,NA,NA,NA,NA,NA
1984-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6143.3,NA,NA,182,NA,NA,NA,NA,NA
1985-01-01,-0.0964220672354276,9.39833333333333,10.275,10.683,11.1978333333333,11.5865,8400.82,106.266666666667,54.76,50.354,5321.159,6141.6,919.739,2120.284,180.5,458.534,NA,7.23333333333333,96572.3333333333,NA
1985-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6085.2,NA,NA,181.6,NA,NA,NA,NA,NA
1985-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6057.8,NA,NA,182.5,NA,NA,NA,NA,NA
1985-04-01,-0.114064185059154,8.48047619047619,9.4015873015873,9.77365079365079,10.3255555555556,10.8234920634921,8474.787,107.233333333333,54.7901,50.678,5370.011,6159.5,967.092,2167.338,181.6,411.414,NA,7.3,97269.6666666667,NA
1985-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6310.8,NA,NA,181.7,NA,NA,NA,NA,NA
1985-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6178.9,NA,NA,182.6,NA,NA,NA,NA,NA
1985-07-01,0.0291895454402459,7.98603174603175,8.89603174603175,9.2815873015873,9.77142857142857,10.3355555555556,8604.22,107.9,54.7119,50.984,5472.014,6192.8,925.646,2216.743,188.3,449.822,NA,7.2,97844.3333333333,NA
1985-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6189,NA,NA,183.3,NA,NA,NA,NA,NA
1985-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6216.2,NA,NA,184.2,NA,NA,NA,NA,NA
1985-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-212308,NA,NA,NA
1985-10-01,0.0930130219039372,7.85645161290323,8.53451612903226,8.84596774193548,9.23677419354839,9.76612903225806,8668.188,109,55.0245,51.269,5483.866,6247.8,943.814,2225.878,183.8,451.882,NA,7.03333333333333,98428.3333333333,NA
1985-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6258.1,NA,NA,184.7,NA,NA,NA,NA,NA
1985-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6296.4,NA,NA,184.5,NA,NA,NA,NA,NA
1986-01-01,0.17906212265104,7.45883333333333,7.77766666666667,7.94183333333333,8.1655,8.567,8749.127,109.566666666667,55.3558,51.524,5531.807,6308.5,950.98,2243.464,190.8,450.793,NA,7.03333333333333,98837.6666666667,NA
1986-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6341.7,NA,NA,190.9,NA,NA,NA,NA,NA
1986-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6406.5,NA,NA,191.5,NA,NA,NA,NA,NA
1986-04-01,0.197131999835022,6.6046875,6.9778125,7.174375,7.39984375,7.59796875,8788.524,109.033333333333,55.0214666666667,51.719,5592.08,6430.4,951.53,2290.227,191.1,452.337,NA,7.16666666666667,99174.6666666667,NA
1986-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6435.8,NA,NA,192.5,NA,NA,NA,NA,NA
1986-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6429.8,NA,NA,192.7,NA,NA,NA,NA,NA
1986-07-01,0.548309817550707,5.99515625,6.4496875,6.66265625,6.93015625,7.30546875,8872.601,109.7,55.2378,51.931,5690.971,6461.8,918.643,2340.115,199,462.097,NA,6.96666666666667,99665,NA
1986-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6469.4,NA,NA,194.2,NA,NA,NA,NA,NA
1986-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6472.9,NA,NA,194.4,NA,NA,NA,NA,NA
1986-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-221227,NA,NA,NA
1986-10-01,0.562894742140027,5.79790322580645,6.2758064516129,6.48758064516129,6.75193548387097,7.26403225806452,8920.193,110.466666666667,55.8578,52.214,5725.812,6466,902.459,2330.449,195.3,482.909,NA,6.83333333333333,100312.666666667,NA
1986-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6466.7,NA,NA,195,NA,NA,NA,NA,NA
